lambda,accuracy,hard_sparsity_below_0.1,soft_sparsity_below_0.3,mean_gate,min_gate,max_gate
0.01,19.35,0.0,100.0,0.15253432095050812,0.15250468254089355,0.20535553991794586
0.05,20.9,0.0,100.0,0.15252342820167542,0.15251368284225464,0.17054158449172974
0.1,21.05,0.0,100.0,0.152522012591362,0.15251155197620392,0.15416660904884338
